seq	analysisRecord	ctsUrn	analysisValue	surfaceForm
1	urn:cite:hmt:persNameOrca2014r1.1	urn:cts:greekLit:tlg7000.tlg001.msA:9.387.5@Ἀχιλλεῖ[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers1	Ἀχιλλεῖ
2	urn:cite:hmt:persNameOrca2014r1.2	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.1@Χρύσου[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers44	Χρύσου
3	urn:cite:hmt:persNameOrca2014r1.3	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.3@Ἑλένης[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers94	Ἑλένης
4	urn:cite:hmt:persNameOrca2014r1.4	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.4@Άρεος[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers83	Άρεος
5	urn:cite:hmt:persNameOrca2014r1.5	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.5@Κυθέρειαν[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers194	Κυθέρειαν
6	urn:cite:hmt:persNameOrca2014r1.6	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.5@Ἄρηά[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers83	Ἄρηά
7	urn:cite:hmt:persNameOrca2014r1.7	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.5@Τυδέος[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers251	Τυδέος
8	urn:cite:hmt:persNameOrca2014r1.8	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.6@Ἀνδρομάχης[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers171	Ἀνδρομάχης
9	urn:cite:hmt:persNameOrca2014r1.9	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.6@Ἕκτορός[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers172	Ἕκτορός
10	urn:cite:hmt:persNameOrca2014r1.10	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.7@Αἴας[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers127	Αἴας
11	urn:cite:hmt:persNameOrca2014r1.11	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.7@Ἕκτορι[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers172	Ἕκτορι
12	urn:cite:hmt:persNameOrca2014r1.12	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.8@Ἕκτορος[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers172	Ἕκτορος
13	urn:cite:hmt:persNameOrca2014r1.13	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.9@Ἀχιλῆος[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers1	Ἀχιλῆος
14	urn:cite:hmt:persNameOrca2014r1.14	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.11@Ἕκτορος[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers172	Ἕκτορος
15	urn:cite:hmt:persNameOrca2014r1.15	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.13@Ποσειδάων[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers47	Ποσειδάων
16	urn:cite:hmt:persNameOrca2014r1.16	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.14@Κρονίδην[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers8	Κρονίδην
17	urn:cite:hmt:persNameOrca2014r1.17	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.14@Ἥρη[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers116	Ἥρη
18	urn:cite:hmt:persNameOrca2014r1.18	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.15@Κρονίδης[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers8	Κρονίδης
19	urn:cite:hmt:persNameOrca2014r1.19	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.15@Ποσειδάονι[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers47	Ποσειδάονι
20	urn:cite:hmt:persNameOrca2014r1.20	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.15@Ἥρῃ[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers116	Ἥρῃ
21	urn:cite:hmt:persNameOrca2014r1.21	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.16@Πάτροκλον[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers158	Πάτροκλον
22	urn:cite:hmt:persNameOrca2014r1.22	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.16@Ἕκτορος[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers172	Ἕκτορος
23	urn:cite:hmt:persNameOrca2014r1.23	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.18@Θέτις[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers19	Θέτις
24	urn:cite:hmt:persNameOrca2014r1.24	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.18@Ἀχιλῆϊ[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers1	Ἀχιλῆϊ
25	urn:cite:hmt:persNameOrca2014r1.25	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.18@Ἡφαίστου[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers192	Ἡφαίστου
26	urn:cite:hmt:persNameOrca2014r1.26	urn:cts:greekLit:tlg7000.tlg001.msA:9.385.19@Ἀχιλλεύς[1]	urn:cite:hmt:pers.urn:cite:hmt:pers.pers1	Ἀχιλλεύς
