Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:17.1,"urn:cite:hmt:vaimg.VA223VN-0725@0.44,0.3434,0.057,0.0451",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.2,"urn:cite:hmt:vaimg.VA223VN-0725@0.435,0.4793,0.069,0.0541",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.3,"urn:cite:hmt:vaimg.VA223VN-0725@0.437,0.5973,0.059,0.0278",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.4,"urn:cite:hmt:vaimg.VA224RN-0395@0.5709,0.237,0.0313,0.0421",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.5,"urn:cite:hmt:vaimg.VA224RN-0395@0.5466,0.4448,0.0579,0.0227",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.6,"urn:cite:hmt:vaimg.VA224RN-0395@0.5403,0.4819,0.0579,0.031",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.7,"urn:cite:hmt:vaimg.VA224RN-0395@0.4979,0.5209,0.1006,0.0196",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.8,"urn:cite:hmt:vaimg.VA224RN-0395@0.2053,0.6903,0.2866,0.0154",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.9,"urn:cite:hmt:vaimg.VA224VN-0726@0.422,0.2825,0.074,0.0338",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.10,"urn:cite:hmt:vaimg.VA224VN-0726@0.436,0.4944,0.059,0.0293",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.11,"urn:cite:hmt:vaimg.VA224VN-0726@0.44,0.6168,0.059,0.0609",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.12,"urn:cite:hmt:vaimg.VA225RN-0396@0.583,0.5718,0.044,0.024",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAim.hmt:17.13,"urn:cite:hmt:vaimg.VA225VN-0727@0.433,0.2216,0.05,0.0323",urn:cite:hmt:msA.225v
urn:cts:greekLit:tlg5026.msAim.hmt:17.14,"urn:cite:hmt:vaimg.VA225VN-0727@0.438,0.2622,0.04,0.0278",urn:cite:hmt:msA.225v
urn:cts:greekLit:tlg5026.msAim.hmt:17.15,"urn:cite:hmt:vaimg.VA226RN-0397@0.532,0.3366,0.08,0.0173",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAim.hmt:17.16,"urn:cite:hmt:vaimg.VA226RN-0397@0.574,0.5222,0.042,0.0391",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAim.hmt:17.17,"urn:cite:hmt:vaimg.VA226RN-0397@0.184,0.6634,0.341,0.0293",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAim.hmt:17.18,"urn:cite:hmt:vaimg.VA226VN-0728@0.409,0.2434,0.077,0.0203",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.19,"urn:cite:hmt:vaimg.VA226VN-0728@0.444,0.4102,0.048,0.0248",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.20,"urn:cite:hmt:vaimg.VA226VN-0728@0.44,0.4523,0.048,0.0316",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.21,"urn:cite:hmt:vaimg.VA226VN-0728@0.437,0.6026,0.053,0.0255",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.22,"urn:cite:hmt:vaimg.VA226VN-0728@0.432,0.6627,0.066,0.0293",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAim.hmt:17.23,"urn:cite:hmt:vaimg.VA227RN-0398@0.534,0.1938,0.079,0.0248",urn:cite:hmt:msA.227r
