Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:17.1,"urn:cite:hmt:vaimg.VA223VN-0725@0.223,0.1202,0.663,0.0533",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.2,"urn:cite:hmt:vaimg.VA223VN-0725@0.229,0.1593,0.672,0.0616",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.3,"urn:cite:hmt:vaimg.VA223VN-0725@0.221,0.2044,0.685,0.0789",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.4,"urn:cite:hmt:vaimg.VA223VN-0725@0.231,0.272,0.206,0.0932",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.5,"urn:cite:hmt:vaimg.VA223VN-0725@0.221,0.3629,0.223,0.0601",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.6,"urn:cite:hmt:vaimg.VA223VN-0725@0.225,0.417,0.226,0.0631",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.7,"urn:cite:hmt:vaimg.VA223VN-0725@0.222,0.4816,0.223,0.0624",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.8,"urn:cite:hmt:vaimg.VA223VN-0725@0.224,0.5334,0.084,0.021",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.9,"urn:cite:hmt:vaimg.VA223VN-0725@0.226,0.7153,0.663,0.0451",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.10,"urn:cite:hmt:vaimg.VA223VN-0725@0.234,0.7378,0.671,0.0443",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msA.hmt:17.11,"urn:cite:hmt:vaimg.VA224RN-0395@0.1956,0.093,0.6031,0.0324",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.12,"urn:cite:hmt:vaimg.VA224RN-0395@0.196,0.114,0.6075,0.0257",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.13,"urn:cite:hmt:vaimg.VA224RN-0395@0.1919,0.1312,0.6152,0.0634",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.14,"urn:cite:hmt:vaimg.VA224RN-0395@0.5283,0.1819,0.2756,0.0389",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.15,"urn:cite:hmt:vaimg.VA224RN-0395@0.5971,0.2189,0.2079,0.0371",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.16,"urn:cite:hmt:vaimg.VA224RN-0395@0.6013,0.2542,0.207,0.082",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.17,"urn:cite:hmt:vaimg.VA224RN-0395@0.5945,0.3354,0.207,0.0129",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.18,"urn:cite:hmt:vaimg.VA224RN-0395@0.6002,0.3461,0.207,0.2561",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msA.hmt:17.19,"urn:cite:hmt:vaimg.VA224RN-0395@0.5984,0.6003,0.1987,0.0587",urn:cite:hmt:msA.224r
