seq	citeUrn	ctsUrn	analysis	surfaceForm
1	urn:cite:hmt:persNameOrca2014r1.1	urn:cts:greekLit:tlg1194.tlg002.msA:2@Πυλαιμένεα[1]	urn:cite:hmt:pers.pers161	Πυλαιμένεα
2	urn:cite:hmt:persNameOrca2014r1.2	urn:cts:greekLit:tlg1194.tlg002.msA:2@Κυλαιμένεα[1]	urn:cite:hmt:pers.pers161	Κυλαιμένεα
3	urn:cite:hmt:persNameOrca2014r1.3	urn:cts:greekLit:tlg1194.tlg002.msA:3@Ζηνόδοτον[1]	urn:cite:hmt:pers.pers15	Ζηνόδοτον
4	urn:cite:hmt:persNameOrca2014r1.4	urn:cts:greekLit:tlg1194.tlg002.msA:3@Ζηνοδότου[1]	urn:cite:hmt:pers.pers15	Ζηνοδότου
5	urn:cite:hmt:persNameOrca2014r1.5	urn:cts:greekLit:tlg1194.tlg002.msA:4@Ὁήρου[1]	urn:cite:hmt:pers.pers17	Ὁήρου
6	urn:cite:hmt:persNameOrca2014r1.6	urn:cts:greekLit:tlg1194.tlg002.msA:4@Ἥβην[1]	urn:cite:hmt:pers.pers181	Ἥβην
7	urn:cite:hmt:persNameOrca2014r1.7	urn:cts:greekLit:tlg1194.tlg002.msA:4@Ἀγαμέμνων[1]	urn:cite:hmt:pers.pers22	Ἀγαμέμνων
8	urn:cite:hmt:persNameOrca2014r1.8	urn:cts:greekLit:tlg1194.tlg002.msA:4@Ἀχιλλέα[1]	urn:cite:hmt:pers.pers1	Ἀχιλλέα
9	urn:cite:hmt:persNameOrca2014r1.9	urn:cts:greekLit:tlg1194.tlg002.msA:4@Αγαμέμνονος[1]	urn:cite:hmt:pers.pers22	Αγαμέμνονος
10	urn:cite:hmt:persNameOrca2014r1.10	urn:cts:greekLit:tlg1194.tlg002.msA:4@Ὁμήρου[1]	urn:cite:hmt:pers.pers17	Ὁμήρου
11	urn:cite:hmt:persNameOrca2014r1.11	urn:cts:greekLit:tlg1194.tlg002.msA:4@Νέστορος[1]	urn:cite:hmt:pers.pers117	Νέστορος
